t,object
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.27,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.28,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.29,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
